idpozo,idempresa,empresa,cuenca,provincia,formacion,tipo_de_recurso,n_meses,prod_pet_annual
96864,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,1206.1299999999999
96870,CLP,Clear Petroleum S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,2.482127
96870,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,9,228.45
96874,CLP,Clear Petroleum S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,4.173815
96874,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,26.2
96876,PAR,PATAGONIA RESOURCES S.A. ,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,31.37676
96876,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,285.90999999999997
96877,CLP,Clear Petroleum S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,41.48773
96877,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,5,330.09
96879,PAR,PATAGONIA RESOURCES S.A. ,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,12.02496
96879,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,168.17
96880,PAR,PATAGONIA RESOURCES S.A. ,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,13.64715
96880,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,123.22
96882,PAR,PATAGONIA RESOURCES S.A. ,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,44.03487
96882,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,333.68
96884,PAR,PATAGONIA RESOURCES S.A. ,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,1.790501
96884,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,600.55
96885,PAR,PATAGONIA RESOURCES S.A. ,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,13.14383
96885,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,214.4
96886,PAR,PATAGONIA RESOURCES S.A. ,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,30.99742
96886,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,170.28
96887,PAR,PATAGONIA RESOURCES S.A. ,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,20.08616
96887,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,10,201.89
96889,ROC,ROCH S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,28.78009
